datetime,account,category,amount,currency,note,record_type
2016-08-26 00:00:00,One,增肥,-90.0,TWD,晚餐,transaction
2016-08-26 00:00:00,One,增肥,-65.0,TWD,早餐,transaction
2016-08-27 00:00:00,One,增肥,-163.0,TWD,早餐,transaction
2016-08-30 00:00:00,One,增肥,-95.0,TWD,晚餐,transaction
2016-08-30 00:00:00,One,增肥,-75.0,TWD,中餐,transaction
2016-08-31 00:00:00,One,一起,-180.0,TWD,內胎,transaction
2016-08-31 00:00:00,One,增肥,-150.0,TWD,晚餐,transaction
2016-09-01 00:00:00,One,增肥,-40.0,TWD,,transaction
2016-09-01 00:00:00,One,增肥,-70.0,TWD,中餐,transaction
2016-09-01 00:00:00,One,一起,-10.0,TWD,停車費,transaction
2016-09-01 00:00:00,One,補給,200.0,TWD,From Emma,transaction
2016-09-01 00:00:00,One,增肥,-155.0,TWD,,transaction
2016-09-02 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-09-03 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-09-03 00:00:00,One,增肥,-250.0,TWD,五十嵐,transaction
2016-09-03 00:00:00,One,帳單,-1000.0,TWD,千涵婚禮禮金,transaction
2016-09-04 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-09-04 00:00:00,One,帳單,-90.0,TWD,置物櫃,transaction
2016-09-04 00:00:00,One,增肥,-80.0,TWD,中餐,transaction
2016-09-05 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-09-05 00:00:00,One,增肥,-62.0,TWD,Smith&Hsu,transaction
2016-09-06 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-09-06 00:00:00,One,增肥,-100.0,TWD,牛肉麵,transaction
2016-09-09 00:00:00,One,增肥,-100.0,TWD,早餐,transaction
2016-09-09 00:00:00,One,增肥,-250.0,TWD,,transaction
2016-09-09 00:00:00,One,增肥,-85.0,TWD,,transaction
2016-09-10 00:00:00,One,增肥,-70.0,TWD,中餐,transaction
2016-09-11 00:00:00,One,遮羞,-438.0,TWD,剪頭髮,transaction
2016-09-11 00:00:00,One,增肥,-201.0,TWD,,transaction
2016-09-11 00:00:00,One,補給,50.0,TWD,,transaction
2016-09-11 00:00:00,One,汽車,-850.0,TWD,電瓶,transaction
2016-09-11 00:00:00,One,汽車,-100.0,TWD,內襯,transaction
2016-09-11 00:00:00,One,增肥,-65.0,TWD,,transaction
2016-09-12 00:00:00,One,增肥,-95.0,TWD,,transaction
2016-09-13 00:00:00,One,增肥,-95.0,TWD,晚餐,transaction
2016-09-14 00:00:00,One,增肥,-90.0,TWD,,transaction
2016-09-16 00:00:00,One,增肥,-78.0,TWD,,transaction
2016-09-17 00:00:00,One,遮羞,-1400.0,TWD,Timberland,transaction
2016-09-18 00:00:00,One,增肥,-540.0,TWD,晚餐,transaction
2016-09-18 00:00:00,One,補給,400.0,TWD,From Emma,transaction
2016-09-19 00:00:00,One,增肥,-105.0,TWD,豬腳便當,transaction
2016-09-21 00:00:00,One,增肥,-40.0,TWD,早餐,transaction
2016-09-23 00:00:00,One,增肥,-200.0,TWD,,transaction
2016-09-24 00:00:00,One,苦口,-190.0,TWD,,transaction
2016-09-24 00:00:00,One,增肥,-105.0,TWD,,transaction
2016-09-24 00:00:00,One,遮羞,-1000.0,TWD,改衣服,transaction
2016-09-25 00:00:00,One,增肥,-280.0,TWD,小公館咖啡,transaction
2016-09-26 00:00:00,One,增肥,-91.0,TWD,中餐,transaction
2016-09-26 00:00:00,One,增肥,-265.0,TWD,晚餐,transaction
2016-09-28 00:00:00,One,一起,-500.0,TWD,eTag,transaction
2016-09-28 00:00:00,One,增肥,-23.0,TWD,,transaction
2016-09-28 00:00:00,One,帳單,-247.0,TWD,,transaction
2016-09-28 00:00:00,One,增肥,-300.0,TWD,茶水攤,transaction
2016-09-28 00:00:00,One,該死,-1200.0,TWD,KTV,transaction
2016-09-28 00:00:00,One,補給,600.0,TWD,Emma KTV,transaction
2016-09-28 00:00:00,One,增肥,-450.0,TWD,中餐,transaction
2016-09-28 00:00:00,One,補給,200.0,TWD,Emma 中餐,transaction
2016-09-29 00:00:00,One,增肥,-75.0,TWD,,transaction
2016-09-29 00:00:00,One,增肥,-100.0,TWD,,transaction
2016-09-30 00:00:00,One,增肥,-140.0,TWD,,transaction
2016-09-30 00:00:00,One,遮羞,-2000.0,TWD,送洗衣物，從媽媽的8w扣,transaction
2016-10-01 00:00:00,One,增肥,-65.0,TWD,士林馬鈴薯,transaction
2016-10-01 00:00:00,One,增肥,-230.0,TWD,晚餐,transaction
2016-10-02 00:00:00,One,增肥,-440.0,TWD,早餐加晚餐,transaction
2016-10-03 00:00:00,One,增肥,-70.0,TWD,中餐,transaction
2016-10-03 00:00:00,One,增肥,-25.0,TWD,飲料,transaction
2016-10-05 00:00:00,One,增肥,-180.0,TWD,中餐,transaction
2016-10-05 00:00:00,One,增肥,-65.0,TWD,宵夜,transaction
2016-10-05 00:00:00,One,帳單,-500.0,TWD,貨車運費,transaction
2016-10-06 00:00:00,One,增肥,-75.0,TWD,中餐,transaction
2016-10-06 00:00:00,One,增肥,-125.0,TWD,小籠包,transaction
2016-10-06 00:00:00,One,增肥,-49.0,TWD,,transaction
2016-10-07 00:00:00,One,增肥,-75.0,TWD,,transaction
2016-10-07 00:00:00,One,補給,500.0,TWD,補給運費,transaction
2016-10-08 00:00:00,One,增肥,-240.0,TWD,小公館,transaction
2016-10-10 00:00:00,One,增肥,-110.0,TWD,牛肉麵,transaction
2016-10-11 00:00:00,One,增肥,-119.0,TWD,麥噹噹,transaction
2016-10-11 00:00:00,One,增肥,-100.0,TWD,,transaction
2016-10-12 00:00:00,One,增肥,-50.0,TWD,麥噹噹,transaction
2016-10-12 00:00:00,One,該死,-700.0,TWD,Cigarettes,transaction
2016-10-13 00:00:00,One,增肥,-140.0,TWD,,transaction
2016-10-13 00:00:00,One,增肥,-55.0,TWD,麥噹噹,transaction
2016-10-13 00:00:00,One,遮羞,-438.0,TWD,剪頭髮,transaction
2016-10-14 00:00:00,One,增肥,-270.0,TWD,燒烤,transaction
2016-10-14 00:00:00,One,增肥,-40.0,TWD,仙草蜜,transaction
2016-10-14 00:00:00,One,汽車,-5850.0,TWD,鈑金,transaction
2016-10-14 00:00:00,One,增肥,-30.0,TWD,品客,transaction
2016-10-14 00:00:00,One,增肥,-20.0,TWD,麥茶,transaction
2016-10-15 00:00:00,One,補給,160.0,TWD,,transaction
2016-10-15 00:00:00,One,補給,200.0,TWD,,transaction
2016-10-15 00:00:00,One,增肥,-438.0,TWD,早餐,transaction
2016-10-15 00:00:00,One,增肥,-150.0,TWD,創咖啡,transaction
2016-10-15 00:00:00,One,增肥,-395.0,TWD,燒烤,transaction
2016-10-15 00:00:00,One,增肥,-50.0,TWD,地瓜球,transaction
2016-10-15 00:00:00,One,增肥,-50.0,TWD,紅茶牛奶,transaction
2016-10-15 00:00:00,One,補給,450.0,TWD,From Emma,transaction
2016-10-16 00:00:00,One,增肥,-100.0,TWD,中餐,transaction
2016-10-16 00:00:00,One,增肥,-610.0,TWD,晚餐,transaction
2016-10-16 00:00:00,One,增肥,-38.0,TWD,森永牛奶,transaction
2016-10-17 00:00:00,One,增肥,-40.0,TWD,早餐,transaction
2016-10-17 00:00:00,One,增肥,-305.0,TWD,晚餐,transaction
2016-10-17 00:00:00,One,補給,200.0,TWD,From Emma,transaction
2016-10-17 00:00:00,One,增肥,-145.0,TWD,下午咖啡,transaction
2016-10-17 00:00:00,One,補給,3000.0,TWD,From Mom,transaction
2016-10-18 00:00:00,One,增肥,-105.0,TWD,陳三鼎,transaction
2016-10-19 00:00:00,One,增肥,-100.0,TWD,牛肉麵,transaction
2016-10-19 00:00:00,One,增肥,-40.0,TWD,肉圓,transaction
2016-10-19 00:00:00,One,增肥,-180.0,TWD,雞絲飯,transaction
2016-10-19 00:00:00,One,增肥,-100.0,TWD,麻糬,transaction
2016-10-20 00:00:00,One,增肥,-179.0,TWD,麥噹噹,transaction
2016-10-21 00:00:00,One,增肥,-100.0,TWD,早餐,transaction
2016-10-21 00:00:00,One,增肥,-120.0,TWD,,transaction
2016-10-23 00:00:00,One,增肥,-120.0,TWD,早餐,transaction
2016-10-24 00:00:00,One,增肥,-198.0,TWD,咖啡,transaction
2016-10-24 00:00:00,One,增肥,-80.0,TWD,中餐,transaction
2016-10-25 00:00:00,One,增肥,-110.0,TWD,牛肉麵,transaction
2016-10-25 00:00:00,One,增肥,-199.0,TWD,蛋糕,transaction
2016-10-26 00:00:00,One,增肥,-50.0,TWD,餛飩麵,transaction
2016-10-26 00:00:00,One,增肥,-160.0,TWD,麥噹噹,transaction
2016-10-27 00:00:00,One,增肥,-120.0,TWD,牛肉麵,transaction
2016-10-27 00:00:00,One,增肥,-30.0,TWD,白飯,transaction
2016-10-28 00:00:00,One,增肥,-179.0,TWD,麥噹噹,transaction
2016-10-28 00:00:00,One,汽暖,-70.0,TWD,,transaction
2016-10-29 00:00:00,One,增肥,-170.0,TWD,,transaction
2016-10-29 00:00:00,One,該死,-95.0,TWD,Cigarettes,transaction
2016-10-30 00:00:00,One,增肥,-109.0,TWD,Costco 牛肉捲+飲料,transaction
2016-10-30 00:00:00,One,增肥,-1401.0,TWD,Costco 牛肉+咖哩粉+衛生紙,transaction
